ensembl_gene_id	chromosome_name	start_position	end_position	strand	band	external_gene_name	description	goslim_goa_accession
ENSG00000221988	6	32153441	32163680	1	p21.32	PPT2	palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]	GO:0005576
ENSG00000221988	6	32153441	32163680	1	p21.32	PPT2	palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]	GO:0005764
ENSG00000206474	6	29439306	29440977	1	p22.1	OR10C1	olfactory receptor, family 10, subfamily C, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8165]	GO:0008150
ENSG00000206474	6	29439306	29440977	1	p22.1	OR10C1	olfactory receptor, family 10, subfamily C, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8165]	GO:0003674
ENSG00000206474	6	29439306	29440977	1	p22.1	OR10C1	olfactory receptor, family 10, subfamily C, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8165]	GO:0005575
ENSG00000206474	6	29439306	29440977	1	p22.1	OR10C1	olfactory receptor, family 10, subfamily C, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8165]	GO:0005623
ENSG00000206474	6	29439306	29440977	1	p22.1	OR10C1	olfactory receptor, family 10, subfamily C, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8165]	GO:0005886
ENSG00000206474	6	29439306	29440977	1	p22.1	OR10C1	olfactory receptor, family 10, subfamily C, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8165]	GO:0004871
ENSG00000206474	6	29439306	29440977	1	p22.1	OR10C1	olfactory receptor, family 10, subfamily C, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8165]	GO:0007165
ENSG00000206474	6	29439306	29440977	1	p22.1	OR10C1	olfactory receptor, family 10, subfamily C, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8165]	GO:0050877
ENSG00000112462	6	29373423	29375291	-1	p22.1	OR12D3	olfactory receptor, family 12, subfamily D, member 3 [Source:HGNC Symbol;Acc:HGNC:13963]	GO:0008150
ENSG00000112462	6	29373423	29375291	-1	p22.1	OR12D3	olfactory receptor, family 12, subfamily D, member 3 [Source:HGNC Symbol;Acc:HGNC:13963]	GO:0003674
ENSG00000112462	6	29373423	29375291	-1	p22.1	OR12D3	olfactory receptor, family 12, subfamily D, member 3 [Source:HGNC Symbol;Acc:HGNC:13963]	GO:0005575
ENSG00000112462	6	29373423	29375291	-1	p22.1	OR12D3	olfactory receptor, family 12, subfamily D, member 3 [Source:HGNC Symbol;Acc:HGNC:13963]	GO:0005623
ENSG00000112462	6	29373423	29375291	-1	p22.1	OR12D3	olfactory receptor, family 12, subfamily D, member 3 [Source:HGNC Symbol;Acc:HGNC:13963]	GO:0005886
ENSG00000112462	6	29373423	29375291	-1	p22.1	OR12D3	olfactory receptor, family 12, subfamily D, member 3 [Source:HGNC Symbol;Acc:HGNC:13963]	GO:0004871
ENSG00000112462	6	29373423	29375291	-1	p22.1	OR12D3	olfactory receptor, family 12, subfamily D, member 3 [Source:HGNC Symbol;Acc:HGNC:13963]	GO:0007165
ENSG00000112462	6	29373423	29375291	-1	p22.1	OR12D3	olfactory receptor, family 12, subfamily D, member 3 [Source:HGNC Symbol;Acc:HGNC:13963]	GO:0050877
ENSG00000213654	6	32190766	32195523	-1	p21.32	GPSM3	G-protein signaling modulator 3 [Source:HGNC Symbol;Acc:HGNC:13945]	GO:0008150
ENSG00000213654	6	32190766	32195523	-1	p21.32	GPSM3	G-protein signaling modulator 3 [Source:HGNC Symbol;Acc:HGNC:13945]	GO:0003674
ENSG00000213654	6	32190766	32195523	-1	p21.32	GPSM3	G-protein signaling modulator 3 [Source:HGNC Symbol;Acc:HGNC:13945]	GO:0030234
ENSG00000213654	6	32190766	32195523	-1	p21.32	GPSM3	G-protein signaling modulator 3 [Source:HGNC Symbol;Acc:HGNC:13945]	GO:0005575
ENSG00000213654	6	32190766	32195523	-1	p21.32	GPSM3	G-protein signaling modulator 3 [Source:HGNC Symbol;Acc:HGNC:13945]	GO:0005622
ENSG00000213654	6	32190766	32195523	-1	p21.32	GPSM3	G-protein signaling modulator 3 [Source:HGNC Symbol;Acc:HGNC:13945]	GO:0005623
ENSG00000213654	6	32190766	32195523	-1	p21.32	GPSM3	G-protein signaling modulator 3 [Source:HGNC Symbol;Acc:HGNC:13945]	GO:0005737
ENSG00000213654	6	32190766	32195523	-1	p21.32	GPSM3	G-protein signaling modulator 3 [Source:HGNC Symbol;Acc:HGNC:13945]	GO:0002376
ENSG00000204351	6	31959080	31969755	1	p21.33	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10898]	GO:0008150
ENSG00000204351	6	31959080	31969755	1	p21.33	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10898]	GO:0003674
ENSG00000204351	6	31959080	31969755	1	p21.33	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10898]	GO:0005575
ENSG00000204351	6	31959080	31969755	1	p21.33	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10898]	GO:0005622
ENSG00000204351	6	31959080	31969755	1	p21.33	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10898]	GO:0005623
ENSG00000204351	6	31959080	31969755	1	p21.33	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10898]	GO:0005737
ENSG00000204351	6	31959080	31969755	1	p21.33	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10898]	GO:0043234
ENSG00000204351	6	31959080	31969755	1	p21.33	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10898]	GO:0003723
ENSG00000204351	6	31959080	31969755	1	p21.33	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10898]	GO:0043167
ENSG00000204351	6	31959080	31969755	1	p21.33	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10898]	GO:0005634
ENSG00000204351	6	31959080	31969755	1	p21.33	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10898]	GO:0043226
ENSG00000204351	6	31959080	31969755	1	p21.33	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10898]	GO:0005654
ENSG00000204351	6	31959080	31969755	1	p21.33	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10898]	GO:0004386
ENSG00000204351	6	31959080	31969755	1	p21.33	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10898]	GO:0016887
ENSG00000204351	6	31959080	31969755	1	p21.33	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10898]	
ENSG00000204439	6	31658298	31660772	-1	p21.33	C6orf47	chromosome 6 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:19076]	GO:0005575
ENSG00000204439	6	31658298	31660772	-1	p21.33	C6orf47	chromosome 6 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:19076]	GO:0005622
ENSG00000204439	6	31658298	31660772	-1	p21.33	C6orf47	chromosome 6 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:19076]	GO:0005623
ENSG00000204439	6	31658298	31660772	-1	p21.33	C6orf47	chromosome 6 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:19076]	GO:0005737
ENSG00000204469	6	31620720	31637771	1	p21.33	PRRC2A	proline-rich coiled-coil 2A [Source:HGNC Symbol;Acc:HGNC:13918]	GO:0003674
ENSG00000204469	6	31620720	31637771	1	p21.33	PRRC2A	proline-rich coiled-coil 2A [Source:HGNC Symbol;Acc:HGNC:13918]	GO:0005575
ENSG00000204469	6	31620720	31637771	1	p21.33	PRRC2A	proline-rich coiled-coil 2A [Source:HGNC Symbol;Acc:HGNC:13918]	GO:0005622
ENSG00000204469	6	31620720	31637771	1	p21.33	PRRC2A	proline-rich coiled-coil 2A [Source:HGNC Symbol;Acc:HGNC:13918]	GO:0005623
ENSG00000204469	6	31620720	31637771	1	p21.33	PRRC2A	proline-rich coiled-coil 2A [Source:HGNC Symbol;Acc:HGNC:13918]	GO:0005737
ENSG00000204469	6	31620720	31637771	1	p21.33	PRRC2A	proline-rich coiled-coil 2A [Source:HGNC Symbol;Acc:HGNC:13918]	GO:0003723
ENSG00000204469	6	31620720	31637771	1	p21.33	PRRC2A	proline-rich coiled-coil 2A [Source:HGNC Symbol;Acc:HGNC:13918]	GO:0005634
ENSG00000204469	6	31620720	31637771	1	p21.33	PRRC2A	proline-rich coiled-coil 2A [Source:HGNC Symbol;Acc:HGNC:13918]	GO:0043226
ENSG00000204469	6	31620720	31637771	1	p21.33	PRRC2A	proline-rich coiled-coil 2A [Source:HGNC Symbol;Acc:HGNC:13918]	GO:0005576
ENSG00000137337	6	30699807	30717889	-1	p21.33	MDC1	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	GO:0008150
ENSG00000137337	6	30699807	30717889	-1	p21.33	MDC1	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	GO:0003674
ENSG00000137337	6	30699807	30717889	-1	p21.33	MDC1	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	GO:0006259
ENSG00000137337	6	30699807	30717889	-1	p21.33	MDC1	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	GO:0006950
ENSG00000137337	6	30699807	30717889	-1	p21.33	MDC1	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	GO:0034641
ENSG00000137337	6	30699807	30717889	-1	p21.33	MDC1	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	GO:0005575
ENSG00000137337	6	30699807	30717889	-1	p21.33	MDC1	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	GO:0005622
ENSG00000137337	6	30699807	30717889	-1	p21.33	MDC1	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	GO:0005623
ENSG00000137337	6	30699807	30717889	-1	p21.33	MDC1	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	GO:0007049
ENSG00000137337	6	30699807	30717889	-1	p21.33	MDC1	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	GO:0005634
ENSG00000137337	6	30699807	30717889	-1	p21.33	MDC1	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	GO:0043226
ENSG00000137337	6	30699807	30717889	-1	p21.33	MDC1	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	GO:0005654
ENSG00000137337	6	30699807	30717889	-1	p21.33	MDC1	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	GO:0005694
ENSG00000137337	6	30699807	30717889	-1	p21.33	MDC1	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	
ENSG00000223501	6	33250272	33272047	-1	p21.32	VPS52	vacuolar protein sorting 52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10518]	
ENSG00000223501	6	33250272	33272047	-1	p21.32	VPS52	vacuolar protein sorting 52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10518]	GO:0008150
ENSG00000223501	6	33250272	33272047	-1	p21.32	VPS52	vacuolar protein sorting 52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10518]	GO:0003674
ENSG00000223501	6	33250272	33272047	-1	p21.32	VPS52	vacuolar protein sorting 52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10518]	GO:0005575
ENSG00000223501	6	33250272	33272047	-1	p21.32	VPS52	vacuolar protein sorting 52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10518]	GO:0005622
ENSG00000223501	6	33250272	33272047	-1	p21.32	VPS52	vacuolar protein sorting 52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10518]	GO:0005623
ENSG00000223501	6	33250272	33272047	-1	p21.32	VPS52	vacuolar protein sorting 52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10518]	GO:0005737
ENSG00000223501	6	33250272	33272047	-1	p21.32	VPS52	vacuolar protein sorting 52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10518]	GO:0006810
ENSG00000223501	6	33250272	33272047	-1	p21.32	VPS52	vacuolar protein sorting 52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10518]	GO:0043226
ENSG00000223501	6	33250272	33272047	-1	p21.32	VPS52	vacuolar protein sorting 52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10518]	GO:0005794
ENSG00000223501	6	33250272	33272047	-1	p21.32	VPS52	vacuolar protein sorting 52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10518]	GO:0005768
ENSG00000279546	6	32006168	32007104	-1	p21.33	AL645922.1	Uncharacterized protein {ECO:0000313|Ensembl:ENSP00000485579}  [Source:UniProtKB/TrEMBL;Acc:A0A096LPG2]	
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0008150
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0003674
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0034641
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0005575
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0005622
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0005623
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0005737
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0043234
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0022607
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0065003
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0006810
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0016192
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0006461
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0022857
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0043226
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0005794
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0005783
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0002376
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0016887
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	GO:0051082
ENSG00000231925	6	33299694	33314387	-1	p21.32	TAPBP	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0008150
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0003674
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0034641
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0005575
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0005622
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0005623
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0005737
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0005829
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0009058
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0043167
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0005634
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0043226
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0005654
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0005794
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0005886
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0007165
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0005783
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0009790
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0048856
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0030154
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0048646
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0005576
ENSG00000204301	6	32194843	32224067	-1	p21.32	NOTCH4	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]	GO:0002376
ENSG00000279941	6	29440016	29440954	1	p22.1	OR10C1	olfactory receptor, family 10, subfamily C, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8165]	GO:0008150
ENSG00000279941	6	29440016	29440954	1	p22.1	OR10C1	olfactory receptor, family 10, subfamily C, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8165]	GO:0003674
ENSG00000279941	6	29440016	29440954	1	p22.1	OR10C1	olfactory receptor, family 10, subfamily C, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8165]	GO:0005575
ENSG00000279941	6	29440016	29440954	1	p22.1	OR10C1	olfactory receptor, family 10, subfamily C, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8165]	GO:0005623
ENSG00000279941	6	29440016	29440954	1	p22.1	OR10C1	olfactory receptor, family 10, subfamily C, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8165]	GO:0005886
ENSG00000279941	6	29440016	29440954	1	p22.1	OR10C1	olfactory receptor, family 10, subfamily C, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8165]	GO:0004871
